,지역명,규모구분,연도,월,분양가격
49,강원,전용면적 102㎡초과,2015,10,2171
50,충북,전체,2015,10,2032
51,충북,전용면적 60㎡이하,2015,10,1919
52,충북,전용면적 60㎡초과 85㎡이하,2015,10,2033
53,충북,전용면적 85㎡초과 102㎡이하,2015,10,2102
54,충북,전용면적 102㎡초과,2015,10,2369
55,충남,전체,2015,10,2099
56,충남,전용면적 60㎡이하,2015,10,2206
57,충남,전용면적 60㎡초과 85㎡이하,2015,10,2101
58,충남,전용면적 85㎡초과 102㎡이하,2015,10,2743
59,충남,전용면적 102㎡초과,2015,10,2442
60,전북,전체,2015,10,2054
61,전북,전용면적 60㎡이하,2015,10,2127
62,전북,전용면적 60㎡초과 85㎡이하,2015,10,2056
63,전북,전용면적 85㎡초과 102㎡이하,2015,10,2377
64,전북,전용면적 102㎡초과,2015,10,2250
65,전남,전체,2015,10,1925
66,전남,전용면적 60㎡이하,2015,10,1999
67,전남,전용면적 60㎡초과 85㎡이하,2015,10,1922
68,전남,전용면적 85㎡초과 102㎡이하,2015,10,2262
69,전남,전용면적 102㎡초과,2015,10,2292
70,경북,전체,2015,10,2148
71,경북,전용면적 60㎡이하,2015,10,2204
72,경북,전용면적 60㎡초과 85㎡이하,2015,10,2145
73,경북,전용면적 85㎡초과 102㎡이하,2015,10,2308
74,경북,전용면적 102㎡초과,2015,10,2222
75,경남,전체,2015,10,2291
76,경남,전용면적 60㎡이하,2015,10,2239
77,경남,전용면적 60㎡초과 85㎡이하,2015,10,2305
78,경남,전용면적 85㎡초과 102㎡이하,2015,10,2890
79,경남,전용면적 102㎡초과,2015,10,3014
80,제주,전체,2015,10,2232
81,제주,전용면적 60㎡이하,2015,10,0
82,제주,전용면적 60㎡초과 85㎡이하,2015,10,2225
83,제주,전용면적 85㎡초과 102㎡이하,2015,10,2583
84,제주,전용면적 102㎡초과,2015,10,2574
85,서울,전체,2015,11,6050
86,서울,전용면적 60㎡이하,2015,11,6320
87,서울,전용면적 60㎡초과 85㎡이하,2015,11,5964
88,서울,전용면적 85㎡초과 102㎡이하,2015,11,7092
89,서울,전용면적 102㎡초과,2015,11,6551
90,인천,전체,2015,11,3184
91,인천,전용면적 60㎡이하,2015,11,3328
92,인천,전용면적 60㎡초과 85㎡이하,2015,11,3119
93,인천,전용면적 85㎡초과 102㎡이하,2015,11,3545
94,인천,전용면적 102㎡초과,2015,11,3408
95,경기,전체,2015,11,3098
96,경기,전용면적 60㎡이하,2015,11,3079
97,경기,전용면적 60㎡초과 85㎡이하,2015,11,3202
98,경기,전용면적 85㎡초과 102㎡이하,2015,11,3391
99,경기,전용면적 102㎡초과,2015,11,3724
100,부산,전체,2015,11,3131
101,부산,전용면적 60㎡이하,2015,11,2982
102,부산,전용면적 60㎡초과 85㎡이하,2015,11,3037
103,부산,전용면적 85㎡초과 102㎡이하,2015,11,2957
104,부산,전용면적 102㎡초과,2015,11,3739
105,대구,전체,2015,11,2749
106,대구,전용면적 60㎡이하,2015,11,2503
107,대구,전용면적 60㎡초과 85㎡이하,2015,11,2806
108,대구,전용면적 85㎡초과 102㎡이하,2015,11,2557
109,대구,전용면적 102㎡초과,2015,11,2743
110,광주,전체,2015,11,2424
111,광주,전용면적 60㎡이하,2015,11,2251
112,광주,전용면적 60㎡초과 85㎡이하,2015,11,2444
113,광주,전용면적 85㎡초과 102㎡이하,2015,11,0
114,광주,전용면적 102㎡초과,2015,11,0
115,대전,전체,2015,11,2454
116,대전,전용면적 60㎡이하,2015,11,2585
117,대전,전용면적 60㎡초과 85㎡이하,2015,11,2428
118,대전,전용면적 85㎡초과 102㎡이하,2015,11,2461
119,대전,전용면적 102㎡초과,2015,11,0
120,울산,전체,2015,11,3043
121,울산,전용면적 60㎡이하,2015,11,2584
122,울산,전용면적 60㎡초과 85㎡이하,2015,11,3048
123,울산,전용면적 85㎡초과 102㎡이하,2015,11,2663
124,울산,전용면적 102㎡초과,2015,11,2874
125,세종,전체,2015,11,2648
126,세종,전용면적 60㎡이하,2015,11,2572
127,세종,전용면적 60㎡초과 85㎡이하,2015,11,2666
128,세종,전용면적 85㎡초과 102㎡이하,2015,11,2644
129,세종,전용면적 102㎡초과,2015,11,2749
130,강원,전체,2015,11,2171
131,강원,전용면적 60㎡이하,2015,11,2292
132,강원,전용면적 60㎡초과 85㎡이하,2015,11,2193
133,강원,전용면적 85㎡초과 102㎡이하,2015,11,2061
134,강원,전용면적 102㎡초과,2015,11,2171
135,충북,전체,2015,11,2004
136,충북,전용면적 60㎡이하,2015,11,1921
137,충북,전용면적 60㎡초과 85㎡이하,2015,11,2015
138,충북,전용면적 85㎡초과 102㎡이하,2015,11,1868
139,충북,전용면적 102㎡초과,2015,11,2277
140,충남,전체,2015,11,2100
141,충남,전용면적 60㎡이하,2015,11,2214
142,충남,전용면적 60㎡초과 85㎡이하,2015,11,2105
143,충남,전용면적 85㎡초과 102㎡이하,2015,11,2523
144,충남,전용면적 102㎡초과,2015,11,2468
145,전북,전체,2015,11,2057
146,전북,전용면적 60㎡이하,2015,11,2129
147,전북,전용면적 60㎡초과 85㎡이하,2015,11,2057
148,전북,전용면적 85㎡초과 102㎡이하,2015,11,2377
149,전북,전용면적 102㎡초과,2015,11,2282
150,전남,전체,2015,11,1909
151,전남,전용면적 60㎡이하,2015,11,1999
152,전남,전용면적 60㎡초과 85㎡이하,2015,11,1906
153,전남,전용면적 85㎡초과 102㎡이하,2015,11,2262
154,전남,전용면적 102㎡초과,2015,11,2176
155,경북,전체,2015,11,2190
156,경북,전용면적 60㎡이하,2015,11,2210
157,경북,전용면적 60㎡초과 85㎡이하,2015,11,2186
158,경북,전용면적 85㎡초과 102㎡이하,2015,11,2516
159,경북,전용면적 102㎡초과,2015,11,2370
160,경남,전체,2015,11,2298
161,경남,전용면적 60㎡이하,2015,11,2200
162,경남,전용면적 60㎡초과 85㎡이하,2015,11,2322
163,경남,전용면적 85㎡초과 102㎡이하,2015,11,2980
164,경남,전용면적 102㎡초과,2015,11,3043
165,제주,전체,2015,11,2232
166,제주,전용면적 60㎡이하,2015,11,0
167,제주,전용면적 60㎡초과 85㎡이하,2015,11,2225
168,제주,전용면적 85㎡초과 102㎡이하,2015,11,2583
169,제주,전용면적 102㎡초과,2015,11,2574
170,서울,전체,2015,12,6041
171,서울,전용면적 60㎡이하,2015,12,6321
172,서울,전용면적 60㎡초과 85㎡이하,2015,12,5966
173,서울,전용면적 85㎡초과 102㎡이하,2015,12,6513
174,서울,전용면적 102㎡초과,2015,12,6551
175,인천,전체,2015,12,3184
176,인천,전용면적 60㎡이하,2015,12,3328
177,인천,전용면적 60㎡초과 85㎡이하,2015,12,3119
178,인천,전용면적 85㎡초과 102㎡이하,2015,12,3545
179,인천,전용면적 102㎡초과,2015,12,3408
180,경기,전체,2015,12,3198
181,경기,전용면적 60㎡이하,2015,12,3293
182,경기,전용면적 60㎡초과 85㎡이하,2015,12,3314
183,경기,전용면적 85㎡초과 102㎡이하,2015,12,3449
184,경기,전용면적 102㎡초과,2015,12,3850
185,부산,전체,2015,12,3127
186,부산,전용면적 60㎡이하,2015,12,2951
187,부산,전용면적 60㎡초과 85㎡이하,2015,12,3032
188,부산,전용면적 85㎡초과 102㎡이하,2015,12,2957
189,부산,전용면적 102㎡초과,2015,12,3739
190,대구,전체,2015,12,2962
191,대구,전용면적 60㎡이하,2015,12,3282
192,대구,전용면적 60㎡초과 85㎡이하,2015,12,2971
193,대구,전용면적 85㎡초과 102㎡이하,2015,12,2532
194,대구,전용면적 102㎡초과,2015,12,2743
195,광주,전체,2015,12,2476
196,광주,전용면적 60㎡이하,2015,12,2395
197,광주,전용면적 60㎡초과 85㎡이하,2015,12,2489
198,광주,전용면적 85㎡초과 102㎡이하,2015,12,0
199,광주,전용면적 102㎡초과,2015,12,0
200,대전,전체,2015,12,2454
201,대전,전용면적 60㎡이하,2015,12,2585
202,대전,전용면적 60㎡초과 85㎡이하,2015,12,2428
203,대전,전용면적 85㎡초과 102㎡이하,2015,12,2461
204,대전,전용면적 102㎡초과,2015,12,0
205,울산,전체,2015,12,3043
206,울산,전용면적 60㎡이하,2015,12,2584
207,울산,전용면적 60㎡초과 85㎡이하,2015,12,3048
208,울산,전용면적 85㎡초과 102㎡이하,2015,12,2663
209,울산,전용면적 102㎡초과,2015,12,2874
210,세종,전체,2015,12,2665
211,세종,전용면적 60㎡이하,2015,12,2601
212,세종,전용면적 60㎡초과 85㎡이하,2015,12,2676
213,세종,전용면적 85㎡초과 102㎡이하,2015,12,2661
214,세종,전용면적 102㎡초과,2015,12,2752
215,강원,전체,2015,12,2171
216,강원,전용면적 60㎡이하,2015,12,2292
217,강원,전용면적 60㎡초과 85㎡이하,2015,12,2193
218,강원,전용면적 85㎡초과 102㎡이하,2015,12,2061
219,강원,전용면적 102㎡초과,2015,12,2171
220,충북,전체,2015,12,2005
221,충북,전용면적 60㎡이하,2015,12,1941
222,충북,전용면적 60㎡초과 85㎡이하,2015,12,2017
223,충북,전용면적 85㎡초과 102㎡이하,2015,12,2276
224,충북,전용면적 102㎡초과,2015,12,2261
225,충남,전체,2015,12,2269
226,충남,전용면적 60㎡이하,2015,12,2438
227,충남,전용면적 60㎡초과 85㎡이하,2015,12,2279
228,충남,전용면적 85㎡초과 102㎡이하,2015,12,2523
229,충남,전용면적 102㎡초과,2015,12,2444
230,전북,전체,2015,12,1983
231,전북,전용면적 60㎡이하,2015,12,1925
232,전북,전용면적 60㎡초과 85㎡이하,2015,12,1987
233,전북,전용면적 85㎡초과 102㎡이하,2015,12,2377
234,전북,전용면적 102㎡초과,2015,12,2282
235,전남,전체,2015,12,1909
236,전남,전용면적 60㎡이하,2015,12,1999
237,전남,전용면적 60㎡초과 85㎡이하,2015,12,1906
238,전남,전용면적 85㎡초과 102㎡이하,2015,12,2262
239,전남,전용면적 102㎡초과,2015,12,2176
240,경북,전체,2015,12,2181
241,경북,전용면적 60㎡이하,2015,12,2178
242,경북,전용면적 60㎡초과 85㎡이하,2015,12,2184
243,경북,전용면적 85㎡초과 102㎡이하,2015,12,2516
244,경북,전용면적 102㎡초과,2015,12,2370
245,경남,전체,2015,12,2307
246,경남,전용면적 60㎡이하,2015,12,2280
247,경남,전용면적 60㎡초과 85㎡이하,2015,12,2329
248,경남,전용면적 85㎡초과 102㎡이하,2015,12,2934
249,경남,전용면적 102㎡초과,2015,12,3019
250,제주,전체,2015,12,2268
251,제주,전용면적 60㎡이하,2015,12,0
252,제주,전용면적 60㎡초과 85㎡이하,2015,12,2260
253,제주,전용면적 85㎡초과 102㎡이하,2015,12,2583
254,제주,전용면적 102㎡초과,2015,12,2574
255,서울,전체,2016,1,6108
256,서울,전용면적 60㎡이하,2016,1,6427
257,서울,전용면적 60㎡초과 85㎡이하,2016,1,6036
258,서울,전용면적 85㎡초과 102㎡이하,2016,1,6513
259,서울,전용면적 102㎡초과,2016,1,6551
260,인천,전체,2016,1,3191
261,인천,전용면적 60㎡이하,2016,1,3328
262,인천,전용면적 60㎡초과 85㎡이하,2016,1,3110
263,인천,전용면적 85㎡초과 102㎡이하,2016,1,3545
264,인천,전용면적 102㎡초과,2016,1,3408
265,경기,전체,2016,1,3198
266,경기,전용면적 60㎡이하,2016,1,3293
267,경기,전용면적 60㎡초과 85㎡이하,2016,1,3313
268,경기,전용면적 85㎡초과 102㎡이하,2016,1,3450
269,경기,전용면적 102㎡초과,2016,1,3850
270,부산,전체,2016,1,3152
271,부산,전용면적 60㎡이하,2016,1,2951
272,부산,전용면적 60㎡초과 85㎡이하,2016,1,3057
273,부산,전용면적 85㎡초과 102㎡이하,2016,1,2957
274,부산,전용면적 102㎡초과,2016,1,3812
275,대구,전체,2016,1,3086
276,대구,전용면적 60㎡이하,2016,1,3341
277,대구,전용면적 60㎡초과 85㎡이하,2016,1,3103
278,대구,전용면적 85㎡초과 102㎡이하,2016,1,2532
279,대구,전용면적 102㎡초과,2016,1,2743
280,광주,전체,2016,1,2569
281,광주,전용면적 60㎡이하,2016,1,2395
282,광주,전용면적 60㎡초과 85㎡이하,2016,1,2582
283,광주,전용면적 85㎡초과 102㎡이하,2016,1,0
284,광주,전용면적 102㎡초과,2016,1,0
285,대전,전체,2016,1,2454
286,대전,전용면적 60㎡이하,2016,1,2585
287,대전,전용면적 60㎡초과 85㎡이하,2016,1,2428
288,대전,전용면적 85㎡초과 102㎡이하,2016,1,2461
289,대전,전용면적 102㎡초과,2016,1,0
290,울산,전체,2016,1,3046
291,울산,전용면적 60㎡이하,2016,1,2584
292,울산,전용면적 60㎡초과 85㎡이하,2016,1,3053
293,울산,전용면적 85㎡초과 102㎡이하,2016,1,2663
294,울산,전용면적 102㎡초과,2016,1,2874
295,세종,전체,2016,1,2665
296,세종,전용면적 60㎡이하,2016,1,2601
297,세종,전용면적 60㎡초과 85㎡이하,2016,1,2676
298,세종,전용면적 85㎡초과 102㎡이하,2016,1,2661
299,세종,전용면적 102㎡초과,2016,1,2752
300,강원,전체,2016,1,2173
301,강원,전용면적 60㎡이하,2016,1,2290
302,강원,전용면적 60㎡초과 85㎡이하,2016,1,2199
303,강원,전용면적 85㎡초과 102㎡이하,2016,1,2061
304,강원,전용면적 102㎡초과,2016,1,2171
305,충북,전체,2016,1,2008
306,충북,전용면적 60㎡이하,2016,1,1952
307,충북,전용면적 60㎡초과 85㎡이하,2016,1,2021
308,충북,전용면적 85㎡초과 102㎡이하,2016,1,2276
309,충북,전용면적 102㎡초과,2016,1,2261
310,충남,전체,2016,1,2270
311,충남,전용면적 60㎡이하,2016,1,2481
312,충남,전용면적 60㎡초과 85㎡이하,2016,1,2281
313,충남,전용면적 85㎡초과 102㎡이하,2016,1,2541
314,충남,전용면적 102㎡초과,2016,1,2444
315,전북,전체,2016,1,1980
316,전북,전용면적 60㎡이하,2016,1,1908
317,전북,전용면적 60㎡초과 85㎡이하,2016,1,1987
318,전북,전용면적 85㎡초과 102㎡이하,2016,1,2377
319,전북,전용면적 102㎡초과,2016,1,2282
320,전남,전체,2016,1,1909
321,전남,전용면적 60㎡이하,2016,1,1999
322,전남,전용면적 60㎡초과 85㎡이하,2016,1,1906
323,전남,전용면적 85㎡초과 102㎡이하,2016,1,2262
324,전남,전용면적 102㎡초과,2016,1,2176
325,경북,전체,2016,1,2181
326,경북,전용면적 60㎡이하,2016,1,2178
327,경북,전용면적 60㎡초과 85㎡이하,2016,1,2185
328,경북,전용면적 85㎡초과 102㎡이하,2016,1,2516
329,경북,전용면적 102㎡초과,2016,1,2346
330,경남,전체,2016,1,2327
331,경남,전용면적 60㎡이하,2016,1,2270
332,경남,전용면적 60㎡초과 85㎡이하,2016,1,2348
333,경남,전용면적 85㎡초과 102㎡이하,2016,1,2925
334,경남,전용면적 102㎡초과,2016,1,2828
335,제주,전체,2016,1,2268
336,제주,전용면적 60㎡이하,2016,1,0
337,제주,전용면적 60㎡초과 85㎡이하,2016,1,2260
338,제주,전용면적 85㎡초과 102㎡이하,2016,1,2583
339,제주,전용면적 102㎡초과,2016,1,2574
340,서울,전체,2016,2,6111
341,서울,전용면적 60㎡이하,2016,2,6438
342,서울,전용면적 60㎡초과 85㎡이하,2016,2,6039
343,서울,전용면적 85㎡초과 102㎡이하,2016,2,6513
344,서울,전용면적 102㎡초과,2016,2,6458
345,인천,전체,2016,2,3192
346,인천,전용면적 60㎡이하,2016,2,3328
347,인천,전용면적 60㎡초과 85㎡이하,2016,2,3112
348,인천,전용면적 85㎡초과 102㎡이하,2016,2,3545
349,인천,전용면적 102㎡초과,2016,2,3408
350,경기,전체,2016,2,3219
351,경기,전용면적 60㎡이하,2016,2,3294
352,경기,전용면적 60㎡초과 85㎡이하,2016,2,3268
353,경기,전용면적 85㎡초과 102㎡이하,2016,2,3381
354,경기,전용면적 102㎡초과,2016,2,3669
355,부산,전체,2016,2,3154
356,부산,전용면적 60㎡이하,2016,2,2999
357,부산,전용면적 60㎡초과 85㎡이하,2016,2,3060
358,부산,전용면적 85㎡초과 102㎡이하,2016,2,2957
359,부산,전용면적 102㎡초과,2016,2,3812
360,대구,전체,2016,2,3064
361,대구,전용면적 60㎡이하,2016,2,3341
362,대구,전용면적 60㎡초과 85㎡이하,2016,2,3079
363,대구,전용면적 85㎡초과 102㎡이하,2016,2,2532
364,대구,전용면적 102㎡초과,2016,2,2743
365,광주,전체,2016,2,2569
366,광주,전용면적 60㎡이하,2016,2,2395
367,광주,전용면적 60㎡초과 85㎡이하,2016,2,2582
368,광주,전용면적 85㎡초과 102㎡이하,2016,2,0
369,광주,전용면적 102㎡초과,2016,2,0
370,대전,전체,2016,2,2454
371,대전,전용면적 60㎡이하,2016,2,2585
372,대전,전용면적 60㎡초과 85㎡이하,2016,2,2428
373,대전,전용면적 85㎡초과 102㎡이하,2016,2,2461
374,대전,전용면적 102㎡초과,2016,2,0
375,울산,전체,2016,2,3046
376,울산,전용면적 60㎡이하,2016,2,2584
377,울산,전용면적 60㎡초과 85㎡이하,2016,2,3053
378,울산,전용면적 85㎡초과 102㎡이하,2016,2,2663
379,울산,전용면적 102㎡초과,2016,2,2874
380,세종,전체,2016,2,2665
381,세종,전용면적 60㎡이하,2016,2,2601
382,세종,전용면적 60㎡초과 85㎡이하,2016,2,2676
383,세종,전용면적 85㎡초과 102㎡이하,2016,2,2661
384,세종,전용면적 102㎡초과,2016,2,2752
385,강원,전체,2016,2,2173
386,강원,전용면적 60㎡이하,2016,2,2290
387,강원,전용면적 60㎡초과 85㎡이하,2016,2,2200
388,강원,전용면적 85㎡초과 102㎡이하,2016,2,0
389,강원,전용면적 102㎡초과,2016,2,2350
390,충북,전체,2016,2,2008
391,충북,전용면적 60㎡이하,2016,2,1952
392,충북,전용면적 60㎡초과 85㎡이하,2016,2,2021
393,충북,전용면적 85㎡초과 102㎡이하,2016,2,2276
394,충북,전용면적 102㎡초과,2016,2,2261
395,충남,전체,2016,2,2272
396,충남,전용면적 60㎡이하,2016,2,2496
397,충남,전용면적 60㎡초과 85㎡이하,2016,2,2282
398,충남,전용면적 85㎡초과 102㎡이하,2016,2,2541
399,충남,전용면적 102㎡초과,2016,2,2444
400,전북,전체,2016,2,1980
401,전북,전용면적 60㎡이하,2016,2,1908
402,전북,전용면적 60㎡초과 85㎡이하,2016,2,1987
403,전북,전용면적 85㎡초과 102㎡이하,2016,2,2377
404,전북,전용면적 102㎡초과,2016,2,2283
405,전남,전체,2016,2,1923
406,전남,전용면적 60㎡이하,2016,2,1999
407,전남,전용면적 60㎡초과 85㎡이하,2016,2,1921
408,전남,전용면적 85㎡초과 102㎡이하,2016,2,2262
409,전남,전용면적 102㎡초과,2016,2,2176
410,경북,전체,2016,2,2179
411,경북,전용면적 60㎡이하,2016,2,2172
412,경북,전용면적 60㎡초과 85㎡이하,2016,2,2191
413,경북,전용면적 85㎡초과 102㎡이하,2016,2,2532
414,경북,전용면적 102㎡초과,2016,2,2346
415,경남,전체,2016,2,2358
416,경남,전용면적 60㎡이하,2016,2,2361
417,경남,전용면적 60㎡초과 85㎡이하,2016,2,2375
418,경남,전용면적 85㎡초과 102㎡이하,2016,2,2925
419,경남,전용면적 102㎡초과,2016,2,2673
420,제주,전체,2016,2,2268
421,제주,전용면적 60㎡이하,2016,2,0
422,제주,전용면적 60㎡초과 85㎡이하,2016,2,2260
423,제주,전용면적 85㎡초과 102㎡이하,2016,2,2583
424,제주,전용면적 102㎡초과,2016,2,2574
425,서울,전체,2016,3,6173
426,서울,전용면적 60㎡이하,2016,3,6550
427,서울,전용면적 60㎡초과 85㎡이하,2016,3,6127
428,서울,전용면적 85㎡초과 102㎡이하,2016,3,7179
429,서울,전용면적 102㎡초과,2016,3,6371
430,인천,전체,2016,3,3190
431,인천,전용면적 60㎡이하,2016,3,3323
432,인천,전용면적 60㎡초과 85㎡이하,2016,3,3111
433,인천,전용면적 85㎡초과 102㎡이하,2016,3,3545
434,인천,전용면적 102㎡초과,2016,3,3408
435,경기,전체,2016,3,3215
436,경기,전용면적 60㎡이하,2016,3,3441
437,경기,전용면적 60㎡초과 85㎡이하,2016,3,3259
438,경기,전용면적 85㎡초과 102㎡이하,2016,3,3363
439,경기,전용면적 102㎡초과,2016,3,3680
440,부산,전체,2016,3,3178
441,부산,전용면적 60㎡이하,2016,3,2951
442,부산,전용면적 60㎡초과 85㎡이하,2016,3,3102
443,부산,전용면적 85㎡초과 102㎡이하,2016,3,2957
444,부산,전용면적 102㎡초과,2016,3,3727
445,대구,전체,2016,3,3119
446,대구,전용면적 60㎡이하,2016,3,3341
447,대구,전용면적 60㎡초과 85㎡이하,2016,3,3154
448,대구,전용면적 85㎡초과 102㎡이하,2016,3,2539
449,대구,전용면적 102㎡초과,2016,3,2743
450,광주,전체,2016,3,2590
451,광주,전용면적 60㎡이하,2016,3,2470
452,광주,전용면적 60㎡초과 85㎡이하,2016,3,2601
453,광주,전용면적 85㎡초과 102㎡이하,2016,3,0
454,광주,전용면적 102㎡초과,2016,3,0
455,대전,전체,2016,3,2454
456,대전,전용면적 60㎡이하,2016,3,2585
457,대전,전용면적 60㎡초과 85㎡이하,2016,3,2428
458,대전,전용면적 85㎡초과 102㎡이하,2016,3,2461
459,대전,전용면적 102㎡초과,2016,3,0
460,울산,전체,2016,3,3066
461,울산,전용면적 60㎡이하,2016,3,2584
462,울산,전용면적 60㎡초과 85㎡이하,2016,3,3075
463,울산,전용면적 85㎡초과 102㎡이하,2016,3,2663
464,울산,전용면적 102㎡초과,2016,3,3057
465,세종,전체,2016,3,2670
466,세종,전용면적 60㎡이하,2016,3,2601
467,세종,전용면적 60㎡초과 85㎡이하,2016,3,2681
468,세종,전용면적 85㎡초과 102㎡이하,2016,3,2670
469,세종,전용면적 102㎡초과,2016,3,2752
470,강원,전체,2016,3,2194
471,강원,전용면적 60㎡이하,2016,3,2249
472,강원,전용면적 60㎡초과 85㎡이하,2016,3,2221
473,강원,전용면적 85㎡초과 102㎡이하,2016,3,0
474,강원,전용면적 102㎡초과,2016,3,2350
475,충북,전체,2016,3,1980
476,충북,전용면적 60㎡이하,2016,3,1925
477,충북,전용면적 60㎡초과 85㎡이하,2016,3,2021
478,충북,전용면적 85㎡초과 102㎡이하,2016,3,2276
479,충북,전용면적 102㎡초과,2016,3,2261
480,충남,전체,2016,3,2115
481,충남,전용면적 60㎡이하,2016,3,2226
482,충남,전용면적 60㎡초과 85㎡이하,2016,3,2114
483,충남,전용면적 85㎡초과 102㎡이하,2016,3,2541
484,충남,전용면적 102㎡초과,2016,3,2444
485,전북,전체,2016,3,1951
486,전북,전용면적 60㎡이하,2016,3,1910
487,전북,전용면적 60㎡초과 85㎡이하,2016,3,1959
488,전북,전용면적 85㎡초과 102㎡이하,2016,3,2269
489,전북,전용면적 102㎡초과,2016,3,2293
490,전남,전체,2016,3,1921
491,전남,전용면적 60㎡이하,2016,3,2002
492,전남,전용면적 60㎡초과 85㎡이하,2016,3,1919
493,전남,전용면적 85㎡초과 102㎡이하,2016,3,2262
494,전남,전용면적 102㎡초과,2016,3,2176
495,경북,전체,2016,3,2179
496,경북,전용면적 60㎡이하,2016,3,2173
497,경북,전용면적 60㎡초과 85㎡이하,2016,3,2191
498,경북,전용면적 85㎡초과 102㎡이하,2016,3,2675
499,경북,전용면적 102㎡초과,2016,3,2314
500,경남,전체,2016,3,2383
501,경남,전용면적 60㎡이하,2016,3,2366
502,경남,전용면적 60㎡초과 85㎡이하,2016,3,2392
503,경남,전용면적 85㎡초과 102㎡이하,2016,3,3053
504,경남,전용면적 102㎡초과,2016,3,2645
505,제주,전체,2016,3,2314
506,제주,전용면적 60㎡이하,2016,3,0
507,제주,전용면적 60㎡초과 85㎡이하,2016,3,2314
508,제주,전용면적 85㎡초과 102㎡이하,2016,3,0
509,제주,전용면적 102㎡초과,2016,3,0
510,서울,전체,2016,4,6241
511,서울,전용면적 60㎡이하,2016,4,6618
512,서울,전용면적 60㎡초과 85㎡이하,2016,4,6196
513,서울,전용면적 85㎡초과 102㎡이하,2016,4,8096
514,서울,전용면적 102㎡초과,2016,4,6353
515,인천,전체,2016,4,3238
516,인천,전용면적 60㎡이하,2016,4,3323
517,인천,전용면적 60㎡초과 85㎡이하,2016,4,3147
518,인천,전용면적 85㎡초과 102㎡이하,2016,4,3545
519,인천,전용면적 102㎡초과,2016,4,4839
520,경기,전체,2016,4,3199
521,경기,전용면적 60㎡이하,2016,4,3400
522,경기,전용면적 60㎡초과 85㎡이하,2016,4,3243
523,경기,전용면적 85㎡초과 102㎡이하,2016,4,3395
524,경기,전용면적 102㎡초과,2016,4,3611
525,부산,전체,2016,4,3169
526,부산,전용면적 60㎡이하,2016,4,2973
527,부산,전용면적 60㎡초과 85㎡이하,2016,4,3087
528,부산,전용면적 85㎡초과 102㎡이하,2016,4,2930
529,부산,전용면적 102㎡초과,2016,4,3727
530,대구,전체,2016,4,3132
531,대구,전용면적 60㎡이하,2016,4,3341
532,대구,전용면적 60㎡초과 85㎡이하,2016,4,3168
533,대구,전용면적 85㎡초과 102㎡이하,2016,4,2539
534,대구,전용면적 102㎡초과,2016,4,2743
535,광주,전체,2016,4,2700
536,광주,전용면적 60㎡이하,2016,4,2600
537,광주,전용면적 60㎡초과 85㎡이하,2016,4,2696
